MapUnit,Name,FullName,Age,Thickness,Description
Plu,Upper Member of Lee Formation,"Lee Formation, Upper Member",Pennsylvanian; Lower Pennsylvanian,450-650,"Sandstone, mostly light-gray (weathers brown), fine- to medium-grained, micaceous; some units are light-gray to white, (weather yellowish-brown to white), crossbedded; fine- to coarse-grained, quartzose, commonly nonconglomeratic, and forming prominent outcrops. Siltstone, argillaceous to sandy, gray, (weathers grayish-brown to brown), laminated, poorly exposed. Shale, silty, in places very dark-gray and carbonaceous. Coal not exposed in this quadrangle."
PMlm,Middle Member of Lee Formation,"Lee Formation, Middle Member",Pennsylvanian; Lower Pennsylvanian,500-600,"Sandstone, white to very light-gray, fine- to coarse-grained, quartzose, massive, crossbedded, conglomeratic with well-rounded quartz pebbles commonly 1/2 to 1 inch in diameter. Locally, member is divided into 4 conglomeratic sandstone ledges by less resistant sandstone and shale; forms prominent cliffs and hogbacks on northwest slope of Cumberland Mountain."
PMll,Lower Member of Lee Formation,"Lee Formation, Lower Member",Lower Pennsylvanian and Upper Mississippian,380-430,"Shale, medium dark-gray to light olive-gray, includes several coal beds and underclays in upper part. Sandstone, very light-gray to white, (weathers gray to buff), fine- to coarse-grained, quartzose, not conglomeratic in this quadrangle, crossbedded; forms prominent bluff."
PMll,Cumberland Gap coal,"Cumberland Gap coal, Lee Formation, Lower Member",Lower Pennsylvanian and Upper Mississippian,"12""; 22""; 12""",
Mpo,Pinnacle Overlook Member of Lee Formation,"Lee Formation, Pinnacle Overlook Member",Upper Mississippian,20-80,"Sandstone, white to very light-gray, fine- to coarse-grained, quartzose, crossbedded, thick-bedded to massive partly conglomeratic with well-rounded quartz pebbles about 1/2 inch in diameter."
Mp,Pennington Formation,Pennington Formation,Mississippian; Upper Mississippian,400+,"Sandstone, very light-gray to light olive-gray, (weathers gray or brown), fine-grained, ripple-bedded with abundant argillaceous laminae. Sandstone light-gray, (weathers brown to buff), medium-grained, massive-bedded, crossbedded, and forms prominent bluffs. Also present are a few beds of calcareous bioclastic sandstone, siltstone, and light olive-gray shale."
Mnu,Newman Limestone,"Newman Limestone, Upper member",Mississippian; Upper Mississippian,400+,"Upper member (Mnu) is shale, medium-gray to medium dark-gray partly calcareous; interbedded with limestone, medium-gray to olive-gray, very fine- to medium-grained, partly argillaceous; minor calcareous sandstone. Upper member is very poorly exposed."
Mnl,Newman Limestone,"Newman Limestone, Lower member",Mississippian; Upper Mississippian,300+,"Lower member (Mnl) is limestone, light olive-gray, (weathers light-gray), very fine- to medium-grained, partly pelletal; basal beds contain dolomite locally and chert nodules in most places. Often forms conspicuous bluffs."
Mg,Grainger Formation,Grainger Formation,Mississippian; Lower Mississippian,300+,"Shale, greenish-gray and grayish-red; a few beds of siltstone, dark greenish-gray and grayish-red; abundant siderite nodules in basal 30 feet; includes as much as 30 feet of Fort Payne Formation at top."
MDc,Chattanooga Shale,Chattanooga Shale,Mississippian and Devonian; Lower Mississippian and Upper Devonian,175-225,"Shale, grayish-black, (weathers gray), carbonaceous, pyritic."
Sr,Rockwood Formation,Rockwood Formation,Silurian; Middle Silurian,490-600,"Shale, mostly light olive-gray with some grayish-red and greenish-gray beds; a few thin beds of siltstone; very fine to fine-grained sandstone, and oolitic hematite. Sandstone, medium-gray to brownish-gray, very fine- to medium-grained, thin- to thick-bedded in lower part."
Os,Sequatchie Formation,Sequatchie Formation,Ordovician; Upper Ordovician,275-300,"Calcareous shale and siltstone, grayish-red and greenish-gray."
Or,Reedsville Shale,"Chickamauga Group, Reedsville Shale",Ordovician; Upper Ordovician,275-300,"Shale, medium-gray, calcareous; interbedded medium-gray coquinoid limestone and a few beds of calcareous siltstone."
Ot,Trenton Limestone,"Chickamauga Group, Trenton Limestone",Ordovician; Middle Ordovician,550+,"Limestone, medium-gray and brownish-gray, coarse- to medium-grained, medium-bedded, largely coquinoid."
Oe,Eggleston Limestone,"Chickamauga Group, Eggleston Limestone",Ordovician; Middle Ordovician,120,"Limestone, light olive-gray and yellowish-gray, very fine-grained; argillaceous in lower and upper parts; olive-black chert nodules at center; upper part contains two persistent bentonite beds."
Ohc,Hardy Creek Limestone,"Chickamauga Group, Hardy Creek Limestone",Ordovician; Middle Ordovician,120,"Limestone, light olive-gray, thin-bedded, very fine-grained; grayish-brown chert nodules in middle part, upper part argillaceous."
Obh,Ben Hur Limestone,"Chickamauga Group, Ben Hur Limestone",Ordovician; Middle Ordovician,90,"Limestone, light olive-gray to yellowish-gray; very fine-grained, argillaceous to very silty."
Ow,Woodway Limestone,"Chickamauga Group, Woodway Limestone",Ordovician; Middle Ordovician,275,"Limestone, light brownish-gray to brownish-gray, very fine grained, often wavy-bedded; abundant Stromatocerium rugosum in beds at base."
Ohb,Hurricane Bridge Limestone,"Chickamauga Group, Hurricane Bridge Limestone",Ordovician; Middle Ordovician,300,"Limestone, light olive-gray to olive-gray, very fine-grained, with calcite ""birdseyes"", partly argillaceous; upper part fossiliferous; contains a few grayish-red, argillaceous limestone beds."
Opm,Martin Creek Limestone and Poteet Limestone,"Chickamauga Group, Martin Creek Limestone and Poteet Limestone",Ordovician; Middle Ordovician,200-225,"Limestone, light olive-gray to brownish-gray, very fine- to medium-grained, argillaceous limestone, and abundant medium-gray to black chert nodules in some beds."
Od,Dot Formation,"Chickamauga Group, Dot Formation",Ordovician; Middle Ordovician,180,"Limestone, light olive-gray, very fine-grained, interbedded with dolomite, light-gray to yellowish-gray, very finely- to finely-crystalline, argillaceous; chert and dolomite pebble conglomerate at base where it rests upon the post-Knox unconformity."
Oma,Mascot Dolomite,"Knox Group, Mascot Dolomite",Ordovician; Lower Ordovician,500-600,"Dolomite, olive-gray to white, mostly fine-grained; limestone, light olive-gray, fine grained, occasionally sandy; and chert in beds and nodules."
Ok,Kingsport Formation,"Knox Group, Kingsport Formation",Ordovician; Lower Ordovician,450+,"Limestone, light olive-gray, fine-grained; dolomite, mostly coarse-grained; and chert, often in beds and large masses."
Oc,Chepultepec Dolomite,"Knox Group, Chepultepec Dolomite",Ordovician; Lower Ordovician,450+,"Dolomite, light-gray to light olive-gray, mostly finely-crystalline; white, oolitic chert nodules in a few beds; medium-grained sandstone in beds as much as 10 feet thick in lower part; abundant chert."
Ccr,Copper Ridge Dolomite,"Knox Group, Copper Ridge Dolomite",Cambrian; Upper Cambrian,750-1000,"Dolomite, lower part is brownish-gray to olive-gray, fine- to medium-crystalline, with petroliferous odor, occasional beds with cryptozon chert; upper part is very light-gray to light olive-gray, fine- to medium-crystalline; contains oolitic chert nodules."
Cmn,Maynardville Limestone,"Conasauga Group, Maynardville Limestone",Cambrian; Upper Cambrian,Upper Member 100-150; Lower Member 200-250,"Limestone, massive to bedded; medium olive-gray, weathering to bluish-gray. Upper part ribboned and bedded with dolomite. Middle part thick-bedded to massive, often showing large scale scalloped bedforms. Lower part bedded, with interbedded olive-gray shale."
Cn,Nolichucky Shale,"Conasauga Group, Nolichucky Shale",Cambrian; Upper Cambrian,500+,"Shale, yellowish- to greenish-gray calcareous shale with thin interbeds of limestone and very fine sandstone (in subsurface only)."
Cr,Rome Formation,Rome Formation,Cambrian; Lower Cambrian,1600+,"Shale, siltstone, sandstone, and limestone; shales greenish-gray to grayish-red, and gray; interbedded with fine- to coarse-grained, partly glauconitic sandstone and thin beds of gray limestone."
